Chartmetric ID,Artista,País,Pronombres,Solista/Grupo,Etiquetas Asociadas,Géneros,Etapa de la carrera,Momentum Reciente,Seguidores en Spotify,Oyentes mensuales en Spotify,Tasa de conversión en Spotify,Popularidad en Spotify,Alcance de playlists en Spotify,Conteo de las playlists en Spotify
488250,Soledad Bravo,España,She/Her,Artistas solistas,Unknown Association,"Singer/Songwriter, Latin Pop, Latin, Electronic",Developing,Steady,34842.0,101137.0,0.344503,32.0,1513182.0,7237.0
3827359,Tatiana Delalvz,España,She/Her,Artistas solistas,UMG (Universal Music Spain),"Latin Pop, Latin Hip-Hop/Rap, Flamenco, Latin",Developing,Growth,6847.0,99309.0,0.068946,32.0,1088131.0,4094.0
617483,Fatima Hajji,España,She/Her,Artistas solistas,Silver M,"Techno, Dance, Electronic",Developing,Steady,97934.0,97627.0,1.003145,34.0,1611409.0,16181.0
1095166,Marina Carmona,España,She/Her,Artistas solistas,UMG (Universal Music Spain),"Latin Pop, Flamenco, Latin",Developing,Growth,1500.0,96984.0,0.015466,28.0,739347.0,2137.0
312469,Lucía Gil,España,She/Her,Artistas solistas,White Diamond,"Latin Pop, Latin",Developing,Growth,28199.0,95205.0,0.296192,29.0,638395.0,4205.0
1518646,Vera GRV,España,She/Her,Artistas solistas,Dimelomamu,"Latin Hip-Hop/Rap, R&B/Soul, Latin Pop, Latin",Developing,Growth,3909.0,93808.0,0.04167,36.0,1400765.0,4407.0
427500,Andrea Motis,España,She/Her,Artistas solistas,Jazz to Jazz,Jazz,Developing,Growth,89903.0,91602.0,0.981452,37.0,1949993.0,12793.0
314651,Marta Quintero,España,She/Her,Artistas solistas,Ocean Music,"Latin Pop, Singer/Songwriter, Latin Folk, Latin",Developing,Growth,42257.0,90619.0,0.466315,33.0,270017.0,3264.0
3525972,Samyula,España,She/Her,Artistas solistas,Samyula,"Classical, New Age",Developing,Growth,1128.0,88735.0,0.012712,34.0,1854986.0,903.0
1441429,Auba Estela,España,She/Her,Artistas solistas,Pep's Music/MMN Group,"Reggae, Pop, Rock",Developing,Steady,10066.0,86437.0,0.116455,29.0,171790.0,2883.0
3414950,Buby SL,España,She/Her,Artistas solistas,La Taifa Records,"Latin Hip-Hop/Rap, Flamenco, Latin",Developing,Steady,2206.0,85950.0,0.025666,33.0,328158.0,4657.0
101712,Maria Del Monte,España,She/Her,Artistas solistas,Lanzadera Music,"Latin Pop, Flamenco, Singer/Songwriter, Latin",Developing,Growth,12095.0,85631.0,0.141246,32.0,341830.0,2858.0
1411169,DORA,España,She/Her,Artistas solistas,Dora Records,"Pop, Dance, Alternative",Mid-Level,Steady,16884.0,83901.0,0.201237,29.0,2504237.0,6754.0
4847621,Anahit,España,She/Her,Artistas solistas,Anahit,"Dance, Pop, Alternative",Developing,Steady,1539.0,83671.0,0.018393,29.0,35587.0,799.0
53235,Ana Alcaide,España,She/Her,Artistas solistas,Ana Alcaide Music,New Age,Developing,Steady,15185.0,82147.0,0.184852,32.0,510369.0,2873.0
889205,Maren,España,She/Her,Artistas solistas,Altafonte,"Indie Pop, Pop, Hip-Hop/Rap",Developing,Steady,16077.0,81592.0,0.197041,32.0,831664.0,7238.0
1407964,Vega Almohalla,España,She/Her,Artistas solistas,MUSHROOM PILLOW,"Hip-Hop/Rap, Pop, Dance",Developing,Growth,7712.0,81355.0,0.094794,30.0,743907.0,4952.0
157759,Sumi Jo,España,She/Her,Artistas solistas,㈜악어뮤직,"Classical, Opera, Pop",Developing,Growth,15541.0,81255.0,0.191262,29.0,1950516.0,5111.0
87769,Judit Neddermann,España,She/Her,Artistas solistas,UMG (Universal Music Spain),"Latin Pop, Latin Classical, Latin Rock, Latin",Developing,Steady,29157.0,80944.0,0.360212,34.0,2028995.0,8987.0
818847,Anier,España,She/Her,Artistas solistas,Anier / DDB Music,Hip-Hop/Rap,Developing,Growth,128346.0,80345.0,1.597436,33.0,644012.0,9609.0
1333923,Marilia Monzón,España,She/Her,Artistas solistas,Esmerarte,"Latin Pop, Indie Pop, Singer/Songwriter, Latin",Developing,Steady,19666.0,76775.0,0.256151,28.0,717937.0,1866.0
181641,María Villalón,España,She/Her,Artistas solistas,"Ambos2 Records, Maria Villalon","Latin Pop, Latin Rock, Holiday, Latin",Developing,Steady,29574.0,75658.0,0.390891,29.0,500816.0,2948.0
